目,花序,特徴,二次代謝産物
アブラナ目,総状花序,ほぼ全ての種がカラシ油配糖体を含む,カラシ油配糖体|グルコシノレート|フラボノイド|アルカロイド
セリ目,頭状花序,,イヌリン|精油|苦味質|アルカロイド
